[UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
[0m[GTPU]   Created gtpu instance id: -1
[0m[1;31m[E1AP]   Failed to create CUUP N3 UDP listener
[0m[UTIL]   threadCreate() for TASK_GTPV1_U: creating thread with affinity ffffffff, priority 50
[0m[RRC]   Accepting DU 3584 (5G-GOA-gNB), sending F1 Setup Response
[0m[RRC]   DU uses RRC version 17.3.0
[0m[MAC]   received F1 Setup Response from CU (null)
[0m[MAC]   CU uses RRC version 17.3.0
[0m[MAC]   Clearing the DU's UE states before, if any.
[0m[NR_RRC]   Accepting new CU-UP ID 3584 name 5G-GOA-gNB (assoc_id -1)
[0m[PHY]   RU clock source set as internal
[0m[PHY]   number of L1 instances 1, number of RU 1, number of CPU cores 12
[0m[PHY]   Initialized RU proc 0 (,synch_to_ext_device),
[0m[PHY]   RU thread-pool core string -1,-1 (size 2)
[0m[UTIL]   threadCreate() for Tpool0_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool1_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for ru_thread: creating thread with affinity ffffffff, priority 97
[0m[PHY]   Starting RU 0 (,synch_to_ext_device) on cpu 7
[0m[PHY]   Initializing frame parms for mu 0, N_RB 25, Ncp 0
[0m[PHY]   Init: N_RB_DL 25, first_carrier_offset 362, nb_prefix_samples 36,nb_prefix_samples0 40, ofdm_symbol_size 512
[0m[PHY]   fp->scs=15000
[0m[PHY]   fp->ofdm_symbol_size=512
[0m[PHY]   fp->nb_prefix_samples0=40
[0m[PHY]   fp->nb_prefix_samples=36
[0m[PHY]   fp->slots_per_subframe=1
[0m[PHY]   fp->samples_per_subframe_wCP=7168
[0m[PHY]   fp->samples_per_frame_wCP=71680
[0m[PHY]   fp->samples_per_subframe=7680
[0m[PHY]   fp->samples_per_frame=76800
[0m[PHY]   fp->dl_CarrierFreq=2488400000
[0m[PHY]   fp->ul_CarrierFreq=1614900000
[0m[PHY]   fp->Nid_cell=0
[0m[PHY]   fp->first_carrier_offset=362
[0m[PHY]   fp->ssb_start_subcarrier=0
[0m[PHY]   fp->Ncp=0
[0m[PHY]   fp->N_RB_DL=25
[0m[PHY]   fp->numerology_index=0
[0m[PHY]   fp->nr_band=254
[0m[PHY]   fp->ofdm_offset_divisor=8
[0m[PHY]   fp->threequarter_fs=0
[0m[PHY]   fp->sl_CarrierFreq=0
[0m[PHY]   fp->N_RB_SL=0
[0m[PHY]   Setting RF config for N_RB 25, NB_RX 1, NB_TX 1
[0m[PHY]   tune_offset 0 Hz, sample_rate 7680000 Hz
[0m[PHY]   Channel 0: setting tx_gain offset 0, tx_freq 2488400000 Hz
[0m[PHY]   Channel 0: setting rx_gain offset 114, rx_freq 1614900000 Hz
[0m[HW]   CirSize = 2294324
[0m[HW]   propagation delay 238.740104 ms, 1833524 samples
[0m[HW]   Running as server waiting opposite rfsimulators to connect
[0m[HW]   [RAU] has loaded RFSIMULATOR device.
[0m[PHY]   RU 0 Setting N_TA_offset to 100 samples (UL Freq 1612650, N_RB 25, mu 0)
[0m[PHY]   Signaling main thread that RU 0 is ready, sl_ahead 6
[0m[PHY]   L1 configured without analog beamforming
[0m[PHY]   Attaching RU 0 antenna 0 to gNB antenna 0
[0m[UTIL]   threadCreate() for Tpool0_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool1_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool2_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool3_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool4_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool5_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool6_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for Tpool7_-1: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for L1_rx_thread: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for L1_tx_thread: creating thread with affinity ffffffff, priority 97
[0m[UTIL]   threadCreate() for L1_stats: creating thread with affinity ffffffff, priority 1
[0m[PHY]   got sync (L1_stats_thread)
[0mCMDLINE: "./ran_build/build/nr-softmodem" "-O" "../ci-scripts/conf_files/gnb.sa.band254.u0.25prb.rfsim.ntn.conf" "--rfsim" "--rfsimulator.prop_delay" "238.74" 
[CONFIG] function config_libconfig_init returned 0
DL frequency 2488400000: band 254, UL frequency 1614900000
Initializing random number generator, seed 15003080588323935187
TYPE <CTRL-C> TO TERMINATE
[PHY]   got sync (ru_thread)
[0m[PHY]   RU 0 rf device ready
[0m[PHY]   RU 0 RF started cpu_meas_enabled 0
[0m[HW]   No connected device, generating void samples...
[0m[32m[PHY]   Command line parameters for OAI UE: -C 2488400000 --CO -873500000 -r 25 --numerology 0 --ssb 60 
[0m[NR_MAC]   Frame.Slot 128.0

[0m[NR_MAC]   Frame.Slot 256.0

[0m[NR_MAC]   Frame.Slot 384.0

[0m[NR_MAC]   Frame.Slot 512.0

[0m[NR_MAC]   Frame.Slot 640.0

[0m[NR_MAC]   Frame.Slot 768.0

[0m[NR_MAC]   Frame.Slot 896.0

[0m[NR_MAC]   Frame.Slot 0.0

[0m[NR_MAC]   Frame.Slot 128.0

[0m[NR_MAC]   Frame.Slot 256.0

[0m[NR_MAC]   Frame.Slot 384.0

[0m[NR_MAC]   Frame.Slot 512.0

[0m[NR_MAC]   Frame.Slot 640.0

[0m[HW]   A client connects, sending the current time
[0m[93m[HW]   Not supported to send Tx out of order 132963840, 132963839
[0m[NR_MAC]   Frame.Slot 768.0

[0m[NR_MAC]   Frame.Slot 896.0

[0m[32m[NR_PHY]   [RAPROC] 905.9 Initiating RA procedure with preamble 9, energy 38.1 dB (I0 0, thres 150), delay 3 start symbol 0 freq index 0
[0m[32m[NR_MAC]   905.9 UE RA-RNTI 007f TC-RNTI f8de: Activating RA process index 0
[0m[NR_MAC]   UE f8de: Msg3 scheduled at 955.3 (906.7 TDA 0)
[0m[32m[NR_MAC]   UE f8de: 906.7 Generating RA-Msg2 DCI, RA RNTI 0x7f, state 1, preamble_index(RAPID) 9, timing_offset = 3 (estimated distance 234.4 [m])
[0m[32m[NR_MAC]   906.7 Send RAR to RA-RNTI 007f
[0m[NR_MAC]   Adding new UE context with RNTI 0xf8de
[0m[32m[NR_MAC]    955. 3 PUSCH with TC_RNTI 0xf8de received correctly
[0m[MAC]   [RAPROC] Received SDU for CCCH length 6 for UE f8de
[0m[RLC]   Activated srb0 for UE 63710
[0m[RLC]   Added srb 1 to UE 63710
[0m[NR_MAC]   Activating scheduling Msg4 for TC_RNTI 0xf8de (state WAIT_Msg3)
[0m[NR_RRC]   Decoding CCCH: RNTI f8de, payload_size 6
[0m[32m[NR_RRC]   [--] (cellID 0, UE ID 1 RNTI f8de) Create UE context: CU UE ID 1 DU UE ID 63710 (rnti: f8de, random ue id 9a7a5b4870000000)
[0m[RRC]   activate SRB 1 of UE 1
[0m[32m[NR_RRC]   [DL] (cellID bc614e, UE ID 1 RNTI f8de) Send RRC Setup
[0m[NR_MAC]   UE f8de Generate Msg4: feedback at 1005. 2, payload 201 bytes, next state nrRA_WAIT_Msg4_MsgB_ACK
[0m[32m[NR_MAC]   1005. 9 UE f8de: Received Ack of Msg4. CBRA procedure succeeded!
[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 0 dB PCMAX 0 dBm, average RSRP 0 (0 meas)
UE f8de: dlsch_rounds 1, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 0
UE f8de: ulsch_rounds 2, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 0  SNR 50.0 dB
UE f8de: MAC:    TX              0 RX              0 bytes
UE f8de: LCID 1: TX              0 RX              0 bytes

[0m[32m[NR_RRC]   [UL] (cellID bc614e, UE ID 1 RNTI f8de) Received RRCSetupComplete (RRC_CONNECTED reached)
[0m[93m[NGAP]   No AMF is associated to the gNB
[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (23 meas)
UE f8de: dlsch_rounds 7, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 16, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX            666 RX           1160 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 8, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 32, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX            777 RX           3016 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 10, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 47, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX            999 RX           4872 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 11, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 59, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           1110 RX           6264 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 12, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 73, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           1221 RX           7888 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 13, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 86, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           1332 RX           9396 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 15, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 99, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           1554 RX          10904 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 16, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 112, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           1665 RX          12412 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 17, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 124, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           1776 RX          13804 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 18, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 137, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           1887 RX          15312 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 20, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 151, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           2109 RX          16936 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 21, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 164, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           2220 RX          18444 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 22, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 178, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           2331 RX          20068 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 24, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 190, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           2553 RX          21460 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 25, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 203, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           2664 RX          22968 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 26, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 216, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           2775 RX          24476 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 27, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 229, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           2886 RX          25984 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 29, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 242, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           3108 RX          27492 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 30, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 254, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           3219 RX          28884 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 31, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 269, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           3330 RX          30508 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 33, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 283, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           3552 RX          32132 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 34, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 296, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           3663 RX          33756 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 35, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 309, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           3774 RX          35264 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 36, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 321, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           3885 RX          36656 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 38, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 334, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           4107 RX          38164 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 39, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 347, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           4218 RX          39672 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 40, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 360, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX           4329 RX          41180 bytes
